Código,Modelo,Fecha de registro,Fecha Asignado,Fecha Reasignado,Estado,Localización,Fecha de 1era Respuesta,Fecha firma solución,Fecha firma cierre,Tipo
REQ 2021-030347,MXB450P,08/12/21 13:02,08/12/21 13:04,,Cerrada,/SCJN/5 de Febrero,08/12/21 16:21,09/12/21 10:37,12/12/21 10:37,SCJ
INC 2021-030337,MXB450P,08/12/21 12:39,08/12/21 12:40,,Cerrada,/SCJN/Edificio Sede,08/12/21 12:46,08/12/21 14:55,11/12/21 14:57,SCJ
REQ 2021-030333,MXB450P,08/12/21 12:30,08/12/21 12:33,,Cerrada,/SCJN/Edificio Sede,08/12/21 12:47,08/12/21 14:53,11/12/21 14:57,SCJ
REQ 2021-030330,MXB450P,08/12/21 12:26,08/12/21 12:29,,Cerrada,/CCJ/Guanajuato,08/12/21 12:29,09/12/21 13:33,12/12/21 13:37,CCJ
REQ 2021-030323,MXB450P,08/12/21 12:12,08/12/21 12:14,,Cerrada,/SCJN/16 de Septiembre,08/12/21 12:56,08/12/21 12:56,11/12/21 12:57,SCJ
REQ 2021-030306,MXB450P,08/12/21 11:29,08/12/21 11:31,,Cerrada,/SCJN/Edificio Sede,08/12/21 11:41,08/12/21 11:41,11/12/21 11:42,SCJ
REQ 2021-030301,MXB450P,08/12/21 11:14,08/12/21 11:18,,Cerrada,/SCJN/Edificio Sede,08/12/21 11:24,08/12/21 14:47,11/12/21 14:47,SCJ
INC 2021-030297,MXB450P,08/12/21 11:09,08/12/21 11:10,,Cerrada,/SCJN/Edificio Sede,08/12/21 11:25,08/12/21 14:47,11/12/21 14:52,SCJ
INC 2021-030285,MXB450P,08/12/21 10:27,08/12/21 10:31,,Cerrada,/SCJN/Edificio Sede,08/12/21 12:03,08/12/21 12:03,11/12/21 12:07,SCJ
REQ 2021-030279,MXB450P,08/12/21 10:04,08/12/21 10:07,,Cerrada,/SCJN/Bolívar,08/12/21 11:25,08/12/21 14:44,11/12/21 14:47,SCJ
REQ 2021-030278,MXB450P,08/12/21 10:03,08/12/21 11:49,,Cerrada,/CCJ/Tlaxcala,08/12/21 11:49,13/12/21 12:53,16/12/21 12:57,CCJ
REQ 2021-030273,MXB450P,08/12/21 9:39,08/12/21 9:43,,Cerrada,/CCJ/Cd. Juárez,08/12/21 19:43,13/12/21 9:24,16/12/21 9:27,CCJ
REQ 2021-030269,MXB450P,08/12/21 9:30,08/12/21 11:47,,Cerrada,/CCJ/Tlaxcala,08/12/21 11:47,09/12/21 13:37,12/12/21 13:42,CCJ
REQ 2021-030204,MXB450P,07/12/21 16:35,07/12/21 16:37,,Cerrada,/SCJN/Edificio Sede,07/12/21 17:26,07/12/21 17:26,10/12/21 17:27,SCJ
INC 2021-030188,MXB450P,07/12/21 14:50,07/12/21 14:51,,Cerrada,/SCJN/Edificio Sede,07/12/21 14:52,07/12/21 14:52,10/12/21 14:57,SCJ
REQ 2021-030185,MXB450P,07/12/21 14:35,07/12/21 14:37,,Cerrada,/SCJN/Edificio Sede,07/12/21 17:25,13/12/21 12:55,16/12/21 12:57,SCJ
REQ 2021-030160,MXB450P,07/12/21 13:29,07/12/21 13:33,,Cerrada,/SCJN/Edificio Sede,07/12/21 13:52,07/12/21 16:47,10/12/21 16:47,SCJ
REQ 2021-030159,MXB450P,07/12/21 13:26,07/12/21 13:28,,Cerrada,/SCJN/Edificio Sede,07/12/21 13:52,07/12/21 16:46,10/12/21 16:47,SCJ
REQ 2021-030143,MXB450P,07/12/21 12:56,07/12/21 13:02,,Cerrada,/SCJN/5 de Febrero,07/12/21 13:10,08/12/21 10:52,11/12/21 10:52,SCJ
REQ 2021-030140,MXB450P,07/12/21 12:53,07/12/21 12:53,,Cerrada,/SCJN/16 de Septiembre,07/12/21 16:42,07/12/21 16:42,10/12/21 16:42,SCJ
REQ 2021-030136,MXB450P,07/12/21 12:41,07/12/21 12:45,,Cerrada,/CCJ/Torreon,07/12/21 12:45,08/12/21 15:11,11/12/21 15:12,CCJ
REQ 2021-030125,MXB450P,07/12/21 12:16,07/12/21 12:19,,Cerrada,/SCJN/Edificio Sede,07/12/21 12:51,09/12/21 16:08,12/12/21 16:12,SCJ
REQ 2021-030113,MXB450P,07/12/21 11:48,07/12/21 11:50,,Cerrada,/SCJN/Edificio Sede,07/12/21 12:48,07/12/21 12:48,10/12/21 12:52,SCJ
REQ 2021-030101,MXB450P,07/12/21 11:26,07/12/21 11:29,,Cerrada,/SCJN/Edificio Sede,07/12/21 11:53,07/12/21 13:57,10/12/21 14:02,SCJ
INC 2021-030087,MXB450P,07/12/21 11:07,07/12/21 11:13,,Cerrada,/SCJN/Edificio Sede,07/12/21 11:53,07/12/21 13:59,10/12/21 14:02,SCJ
REQ 2021-030081,MXB450P,07/12/21 10:39,07/12/21 10:40,,Cerrada,/SCJN/16 de Septiembre,07/12/21 11:35,07/12/21 11:35,10/12/21 11:37,SCJ
REQ 2021-030076,MXB450P,07/12/21 10:24,07/12/21 10:27,,Cerrada,/SCJN/16 de Septiembre,07/12/21 10:27,07/12/21 13:10,10/12/21 13:12,SCJ
INC 2021-030073,MXB450P,07/12/21 10:15,07/12/21 11:52,,Cerrada,/CCJ/Tlaxcala,07/12/21 11:52,09/12/21 10:32,12/12/21 10:37,CCJ
INC 2021-030072,MXB450P,07/12/21 10:14,07/12/21 10:15,,Cerrada,/SCJN/Edificio Sede,07/12/21 11:51,07/12/21 14:00,10/12/21 14:02,SCJ
REQ 2021-030066,MXB450P,07/12/21 10:02,07/12/21 10:03,,Cerrada,/SCJN/16 de Septiembre,07/12/21 10:35,07/12/21 10:35,10/12/21 10:37,SCJ
INC 2021-030060,MXB450P,07/12/21 9:47,07/12/21 9:49,,Cerrada,/SCJN/16 de Septiembre,07/12/21 11:48,07/12/21 11:48,10/12/21 11:52,SCJ
REQ 2021-030056,MXB450P,07/12/21 9:38,07/12/21 9:40,,Cerrada,/SCJN/Edificio Sede,07/12/21 11:33,07/12/21 11:33,10/12/21 11:37,SCJ
INC 2021-030051,MXB450P,07/12/21 9:22,07/12/21 9:23,,Cerrada,/SCJN/Edificio Sede,07/12/21 9:31,08/12/21 14:49,11/12/21 14:52,SCJ
INC 2021-029992,MXB450P,06/12/21 18:07,06/12/21 18:08,,Cerrada,/CCJ/Acapulco,06/12/21 18:08,19/01/22 16:42,22/01/22 16:45,CCJ
REQ 2021-029981,MXB450P,06/12/21 17:43,06/12/21 17:46,,Cerrada,/SCJN/16 de Septiembre,07/12/21 10:04,07/12/21 13:08,10/12/21 13:12,SCJ
INC 2021-029970,MXB450P,06/12/21 16:58,06/12/21 17:00,,Cerrada,/SCJN/16 de Septiembre,06/12/21 17:10,07/12/21 9:21,10/12/21 9:22,SCJ
REQ 2021-029952,MXB450P,06/12/21 16:25,06/12/21 16:26,,Cerrada,/SCJN/16 de Septiembre,06/12/21 16:53,07/12/21 11:33,10/12/21 11:37,SCJ
REQ 2021-029951,MXB450P,06/12/21 16:24,06/12/21 16:24,,Cerrada,/CCJ/Zacatecas,06/12/21 16:24,07/12/21 14:06,10/12/21 14:07,CCJ
INC 2021-029953,MXB450P,06/12/21 16:23,06/12/21 16:27,,Cerrada,/SCJN/Edificio Sede,06/12/21 16:29,07/12/21 11:47,10/12/21 11:52,SCJ
REQ 2021-029950,MXB450P,06/12/21 16:21,06/12/21 16:22,,Cerrada,/CCJ/Tlaxcala,06/12/21 16:22,09/12/21 10:35,12/12/21 10:37,CCJ
REQ 2021-029892,MXB450P,06/12/21 14:14,06/12/21 14:15,,Cerrada,/SCJN/Edificio Sede,06/12/21 14:19,07/12/21 13:52,10/12/21 13:57,SCJ
REQ 2021-029891,MXC304W,06/12/21 14:11,06/12/21 14:13,,Cerrada,/CCJ/Monterrey,06/12/21 14:13,13/12/21 9:23,16/12/21 9:27,CCJ
REQ 2021-029888,MXB450P,06/12/21 14:05,06/12/21 14:07,,Cerrada,/SCJN/Edificio Sede,06/12/21 14:43,06/12/21 14:43,09/12/21 14:47,SCJ
REQ 2021-029884,MXB450P,06/12/21 13:51,06/12/21 13:52,,Cerrada,/SCJN/5 de Febrero,06/12/21 14:15,06/12/21 14:15,09/12/21 14:19,SCJ
REQ 2021-029883,MXB450P,06/12/21 13:48,06/12/21 13:51,06/12/21 15:55,Cerrada,/SCJN/5 de Febrero,06/12/21 16:27,06/12/21 16:27,09/12/21 16:32,SCJ
REQ 2021-029890,MXB450P,06/12/21 13:42,06/12/21 14:11,,Cerrada,/SCJN/16 de Septiembre,06/12/21 14:17,06/12/21 16:38,09/12/21 16:42,SCJ
REQ 2021-029863,MXB450P,06/12/21 12:17,06/12/21 12:21,,Cerrada,/SCJN/5 de Febrero,06/12/21 13:28,06/12/21 13:28,09/12/21 14:18,SCJ
INC 2021-029855,MXB450P,06/12/21 11:55,06/12/21 11:57,,Cerrada,/SCJN/Edificio Sede,21/12/21 9:14,21/12/21 9:14,24/12/21 9:17,SCJ
REQ 2021-029853,MXB450P,06/12/21 11:48,06/12/21 11:50,,Cerrada,/SCJN/16 de Septiembre,06/12/21 12:25,06/12/21 12:25,09/12/21 12:28,SCJ
REQ 2021-029847,MXB450P,06/12/21 11:15,06/12/21 11:17,,Cerrada,/SCJN/Edificio Sede,06/12/21 11:27,06/12/21 16:34,09/12/21 16:37,SCJ
INC 2021-029844,MXB450P,06/12/21 11:03,06/12/21 11:06,,Cerrada,/SCJN/Edificio Sede,06/12/21 11:13,06/12/21 16:31,09/12/21 16:32,SCJ
INC 2021-029845,MXB450P,06/12/21 11:00,06/12/21 11:07,,Cerrada,/SCJN/16 de Septiembre,06/12/21 12:06,06/12/21 12:06,09/12/21 12:07,SCJ
INC 2021-029837,MXB450P,06/12/21 10:51,06/12/21 10:52,,Cerrada,/SCJN/Edificio Sede,06/12/21 11:08,06/12/21 16:42,09/12/21 16:57,SCJ
INC 2021-029836,MXB450P,06/12/21 10:50,06/12/21 10:52,,Cerrada,/SCJN/16 de Septiembre,06/12/21 11:04,06/12/21 13:24,09/12/21 14:18,SCJ
REQ 2021-029833,MXB450P,06/12/21 10:37,06/12/21 10:39,,Cerrada,/SCJN/Edificio Sede,06/12/21 11:12,06/12/21 16:27,09/12/21 16:27,SCJ
INC 2021-029831,MXB450P,06/12/21 10:35,06/12/21 10:36,,Cerrada,/SCJN/16 de Septiembre,06/12/21 10:52,06/12/21 13:19,09/12/21 14:18,SCJ
INC 2021-029822,MXB450P,06/12/21 10:07,06/12/21 10:09,,Cerrada,/SCJN/Edificio Sede,06/12/21 10:25,15/12/21 11:41,18/12/21 11:42,SCJ
REQ 2021-029819,MXB450P,06/12/21 10:01,06/12/21 10:02,,Cerrada,/SCJN/16 de Septiembre,06/12/21 11:18,06/12/21 13:27,09/12/21 14:18,SCJ
REQ 2021-029764,MXB450P,03/12/21 15:55,03/12/21 15:57,,Cerrada,/SCJN/16 de Septiembre,03/12/21 17:23,03/12/21 17:23,06/12/21 17:27,SCJ
INC 2021-029763,MXM5071,03/12/21 15:53,03/12/21 15:56,,Cerrada,/SCJN/16 de Septiembre,03/12/21 17:38,03/12/21 17:38,06/12/21 17:42,SCJ
REQ 2021-029746,MXB450P,03/12/21 14:30,03/12/21 14:31,,Cerrada,/SCJN/Edificio Sede,03/12/21 14:39,03/12/21 17:37,06/12/21 17:42,SCJ
INC 2021-029740,MXB450P,03/12/21 14:02,03/12/21 14:03,,Cerrada,/SCJN/16 de Septiembre,03/12/21 14:35,03/12/21 14:35,06/12/21 14:37,SCJ
REQ 2021-029725,MXB450P,03/12/21 13:04,03/12/21 13:06,,Cerrada,/SCJN/16 de Septiembre,03/12/21 14:35,03/12/21 14:35,06/12/21 14:37,SCJ
REQ 2021-029720,MXB450P,03/12/21 12:48,03/12/21 12:49,,Cerrada,/SCJN/16 de Septiembre,03/12/21 14:38,03/12/21 17:41,06/12/21 17:42,SCJ
INC 2021-029717,MXB450P,03/12/21 12:06,03/12/21 12:10,,Cerrada,/SCJN/16 de Septiembre,03/12/21 12:58,03/12/21 12:58,06/12/21 13:02,SCJ
INC 2021-029713,MXB450P,03/12/21 11:54,03/12/21 11:57,,Cerrada,/SCJN/Edificio Sede,03/12/21 12:17,03/12/21 17:44,06/12/21 17:47,SCJ
REQ 2021-029699,MXB450P,03/12/21 11:18,03/12/21 11:19,,Cerrada,/SCJN/Edificio Sede,03/12/21 12:18,03/12/21 17:40,06/12/21 17:42,SCJ
REQ 2021-029693,MXB450P,03/12/21 10:56,03/12/21 10:57,,Cerrada,/CCJ/Cuernavaca,03/12/21 10:57,08/12/21 15:03,11/12/21 15:07,CCJ
REQ 2021-029668,MXB450P,03/12/21 9:45,03/12/21 9:47,,Cerrada,/SCJN/Edificio Sede,03/12/21 11:13,03/12/21 11:13,06/12/21 11:17,SCJ
INC 2021-029666,MXB450P,03/12/21 9:40,03/12/21 9:42,,Cerrada,/SCJN/Edificio Sede,03/12/21 11:10,03/12/21 11:10,06/12/21 11:12,SCJ
REQ 2021-029648,MXB450P,03/12/21 8:34,03/12/21 8:36,,Cerrada,/SCJN/República del Salvador,03/12/21 9:31,03/12/21 9:31,06/12/21 9:32,SCJ
REQ 2021-029632,MXC304W,02/12/21 17:49,02/12/21 17:52,,Cerrada,/CCJ/Cuernavaca,02/12/21 17:52,09/12/21 10:30,12/12/21 10:32,CCJ
REQ 2021-029631,MXB450P,02/12/21 17:38,02/12/21 17:40,,Cerrada,/CCJ/Culiacán,02/12/21 17:40,08/12/21 10:58,11/12/21 11:02,CCJ
INC 2021-029622,MXM1205,02/12/21 17:04,02/12/21 17:06,,Cerrada,/SCJN/Edificio Sede,02/12/21 17:13,07/12/21 14:05,10/12/21 14:07,SCJ
REQ 2021-029619,MXB450P,02/12/21 16:16,02/12/21 16:47,,Cerrada,/SCJN/16 de Septiembre,02/12/21 17:22,03/12/21 10:25,06/12/21 10:27,SCJ
REQ 2021-029611,MXB450P,02/12/21 15:41,02/12/21 15:43,,Cerrada,/SCJN/República del Salvador,02/12/21 16:44,03/12/21 9:30,06/12/21 9:32,SCJ
REQ 2021-029608,MXB450P,02/12/21 15:33,02/12/21 15:38,,Cerrada,/SCJN/16 de Septiembre,02/12/21 15:39,02/12/21 15:39,05/12/21 15:42,SCJ
